"V1","V2","V3","V4"
0.0763697840620918,0.073188350111427,1,0.090878352416814
1,0.0722354568508415,0.0717743794666872,0.101160378083455
0.0874971182663491,0.115392300007685,0.0785983247521709,1
0.0799508184123569,0.0731576116191501,1,0.0871436256051641
1,0.0771382463690156,0.0837623914546991,0.0732498270959809
0.0683470375778068,0.103696303696304,0.0815184815184815,1
0.062552831783601,0.0672097133635595,1,0.0948743564128179
1,0.0808114961961115,0.100084530853762,0.0934450165219396
0.0884039037885192,0.103189118573734,0.0926150772304619,1
1,0.0739568124183509,1,0.127226619534312
0.117067547836779,0.0930607853684777,1,1
1,0.0934450165219396,0.0957657726888496,1
0.0777530162145547,0.0654729885499116,1,0.0852839468224083
1,0.0773995235533697,0.0722354568508415,0.087205102589718
0.07618535310843,0.108829631906555,0.0828248674402521,1
0.0763083070775378,0.0697610082225467,1,0.107615461461615
1,0.0803196803196803,0.0998847306539614,0.0744793667870591
0.067225082609698,0.095489126258357,0.0733727810650888,1
0.0698378544532391,0.0783831553062322,1,0.0925843387381849
1,0.0687620072235457,0.0732959348343964,0.0778913394298009
0.0876508107277338,0.0998232536694075,0.104864366402828,1
1,0.0663644048259433,1,0.122738799661877
0.118035810343503,0.0943364327979713,1,1
1,0.0893875355413817,0.0785829555060324,1
0.0679320679320679,0.0890494121263352,1,0.0754476292937831
1,0.0893567970491047,0.0831629908552985,0.0651041266425882
0.0847460232075617,1,0.0822562053331284,0.105801890417275
0.0814570045339276,0.0989318373933759,1,0.0667332667332667
1,0.0713901483132253,0.0791208791208791,0.064904326442788
0.073188350111427,1,0.0883885345423807,0.0895719664950434
0.0700376546530393,0.111765157919004,1,0.0762929378313994
1,0.0984092830246677,0.0680703911473142,0.0854530085299316
0.083178360101437,1,0.0614923538000461,0.0997925151771306
1,0.114808268654422,1,0.0779835549066318
0.103189118573734,1,1,0.0926150772304618
1,1,0.0985783447321909,0.106570352724199
0.0962114808268654,0.105340813033121,1,0.0756166910013064
1,0.0835164835164835,0.078536847767617,0.0695919465150234
0.0838084991931146,1,0.0764466302927842,0.083209098593714
0.0693614078229463,0.0941366325981711,1,0.0764619995389226
1,0.0956889264581572,0.0706831629908553,0.0734188888035042
0.0752631983401214,1,0.096518865749635,0.102866364404826
0.0867593944517021,0.0877276569584261,1,0.0775224775224775
1,0.0964727580112195,0.096457388765081,0.0706370552524399
0.078214093598709,1,0.0844847460232076,0.107308076538846
1,0.150541765926381,1,0.0648274802120956
0.095842618919542,1,1,0.0953508030431108
1,1,0.0891108891108891,0.0852993160685469
